Name,Category,Destination,Description,Latitude,Longitude,Reviews,Google Rating(out of 5)
Haeundae Beach,Beach,Busan,"This is Busan's most famous and busiest beach, with a long stretch of golden sand and crystal-clear waters.",35.1575188,129.1569029,https://www.tripadvisor.com/ShowUserReviews-g297884-d1458553-r528850563-Haeundae_Beach-Busan.html,4.6
Gwangalli Beach,Beach,Busan,"This beach is a bit quieter than Haeundae Beach, and it's a great place to watch the sunset and enjoy some street food.",35.1507619,129.1165771,https://www.google.co.kr/travel/entity/key/ChcI-63I7JSc_Lb_ARoKL20vMDNocDl5YxAE/reviews?hl=en&gl=kr&gsas=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABoECgIaACoECgAaAA&rp=OAFIAg&ap=MAAhttps://www.google.co.kr/travel/entity/key/ChcI-63I7JSc_Lb_ARoKL20vMDNocDl5YxAE/reviews?hl=en&gl=kr&gsas=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABoECgIaACoECgAaAA&rp=OAFIAg&ap=MAA,4.6
Dadaepo Beach,Beach,Beach,Dadaepo Beach is made from sands deposited by the Nakdonggang River. It features shallow water and a wide sand beach suitable for children to enjoy.,35.227,128.8819,https://www.tripadvisor.com/Attraction_Review-g297884-d3257034-Reviews-Dadaepo_Beach-Busan.html,4.5
Songdo Beach,Beach,Busan,"This beach is located in the western part of Busan and is known for its cable car and skywalk, which offer stunning views of the ocean and city.",35.07548865,129.0172425,https://www.tripadvisor.co.nz/ShowUserReviews-g297884-d3420565-r488617643-Songdo_Beach-Busan.html,4.4
Jagalchi Fish Market,Market,Busan,"This market is one of the largest fish markets in Korea, and it offers a unique glimpse into the daily lives of Busan's fishermen.",35.0967974,129.0312173,https://www.tripadvisor.com/ShowUserReviews-g297884-d1372972-r649881527-Jagalchi_Market-Busan.html,4
Gukje Market,Market,Busan,"This traditional market is located in the heart of Busan and is one of the oldest and largest markets in Korea. You can find all sorts of goods here, including clothing, accessories, and souvenirs. It's also a great place to sample some local street food.",35.1002443,129.0282442,https://www.trip.com/travel-guide/attraction/busan/gukje-market-61926630/,4.1
Taejongdae,Park,Busan,"This scenic park is located on the southernmost tip of Yeongdo-gu, and it offers stunning views of the ocean and cliffs.",37.646103,127.008232,https://www.tripadvisor.ca/Attraction_Review-g297884-d1552284-Reviews-Taejongdae-Busan.html,4.3
Yongdusan Park,Park,Busan,"This park is located in the heart of Busan and is home to several attractions, including a large bell and a statue of Admiral Yi Sun-sin.",35.097,129.0081,https://www.trip.com/travel-guide/review-attraction/yongdusan-park-78840/159826903/,4.3
Gamcheon Culture Village,Tourist place,Busan,"This picturesque hillside village is known for its colorful houses and narrow streets, and it has become a popular tourist attraction in recent years.",35.096337,129.00879,https://www.tripadvisor.com/ShowUserReviews-g297884-d3901349-r259533099-Busan_Gamcheon_Culture_Village-Busan.html,4.3
Busan Tower,Tourist place,Busan,This 120-meter-high tower offers panoramic views of the city and is a popular spot for tourists to take photos.,35.097,129.0081,https://www.trip.com/travel-guide/attraction/busan/diamond-tower-10521758/,4.2
Dongbaek Island,Tourist place,Busan,"This small island is located at the southern end of Haeundae Beach and is a popular spot for hiking and enjoying the scenic views. It's also home to the Nurimaru APEC House, which hosted the APEC summit in 2005.",35.097,129.0081,https://www.tripadvisor.ca/Attraction_Review-g297884-d21298858-Reviews-Dongbaekseom-Busan.html,4.5
Busan International Film Festival,Tourist place,Busan,This annual film festival is held in October and is one of the most prestigious film festivals in Asia. It's a great opportunity to see some of the latest and greatest films from around the world.,35.159848,128.971854,https://www.trip.com/travel-guide/attraction/busan/busan-international-movie-festival-39464748/,4
Beomeosa Temple,Temple,Busan,This ancient temple is one of the most important Buddhist temples in Korea and is famous for its beautiful architecture and serene atmosphere.,35.282039,129.06709,https://www.tripadvisor.com/ShowUserReviews-g297884-d615908-r147587646-Beomeosa_Temple-Busan.html,4.6
Haedong Yonggungsa Temple,Temple,Busan,This beautiful temple is located on a cliff overlooking the ocean and is one of the few seaside temples in Korea. It's known for its stunning architecture and serene atmosphere.,35.192335,129.220446,https://www.trip.com/travel-guide/attraction/busan/haedong-yonggung-temple-89364/,4.4
Busan Museum,Museum,Busan,This museum is located in the heart of the city and showcases the history and culture of Busan. It's a great place to learn about the city's past and present.,35.129326,129.094185,https://www.trip.com/travel-guide/attraction/busan/busan-museum-22950940/,4
Busan Modern History Museum,Museum,Busan,This museum is located in a historic building that was once the Busan branch of the Bank of Korea. It showcases the history of Busan from the late 19th century to the present day.,35.103109,129.02615,https://www.trip.com/travel-guide/attraction/busan/busan-modern-history-museum-13640797/,4.2
Coffee Mandalay,Cafe,Busan,"This trendy cafe is known for its Instagram-worthy drinks, including their signature dalgona coffee. The cafe is located near Haeundae Beach and has a cozy atmosphere.",35.097,129.0081,https://www.tripadvisor.com/ShowUserReviews-g297884-d6352878-r255535759-Coffee_Mandalay-Busan.html,4.3
Gorilla Brewing,Cafe,Busan,This cafe is located in the heart of Seomyeon and is known for its high-quality coffee and friendly service. They also offer a wide selection of pastries and baked goods.,35.143904,129.109705,https://www.tripadvisor.ca/Restaurant_Review-g297884-d9981909-Reviews-Gorilla_Brewing_Co-Busan.html,4.4
Pascucci,Cafe,Busan,This Italian coffee chain has several locations throughout Busan and is known for its high-quality coffee and pastries. They also offer a variety of sandwiches and salads.,35.097,129.0081,https://www.tripadvisor.ca/Restaurant_Review-g297884-d8587791-Reviews-Caffe_Pascucci_Haeundae-Busan.html,4.2
Werk Roasters,Cafe,Busan,"This cafe is located near Haeundae Beach and is known for its stylish interior and excellent coffee. They roast their own coffee beans in-house, and they have a selection of pastries and desserts.",35.157283,129.074502,https://restaurantguru.com/WERK-Busan,4.4
Bricks Coffee,Cafe,Busan,"This cafe is located in the picturesque neighborhood of Dongnae and is known for its industrial-chic interior and excellent coffee. They have a selection of pastries and sandwiches, as well as a small outdoor seating area.",35.159162,129.058563,https://restaurantguru.com/Bricks-Coffee-Busan,4
Waveon Coffee,Cafe,Busan,This cafe is located in gijang Busan has awesome view,35.3221703,129.2695458,https://www.tripadvisor.com/Restaurant_Review-g297884-d13496216-Reviews-Waveon_Coffee-Busan.html,4
